date,temperature,humidity
29.07.2020-10:17:39,26.66,64.29
29.07.2020-10:17:44,21.01,85.7
29.07.2020-10:17:49,16.32,67.96
29.07.2020-10:17:54,16.61,44.84
29.07.2020-10:17:59,12.5,54.17
29.07.2020-10:18:04,12.31,38.85
29.07.2020-10:18:09,22.97,58.54
29.07.2020-10:18:14,18.01,38.99
29.07.2020-10:18:19,17.19,107.76
29.07.2020-10:18:24,16.33,72.93
29.07.2020-10:18:29,17.44,35.25
29.07.2020-10:18:34,22.38,24.1
29.07.2020-10:18:39,17.83,28.24
29.07.2020-10:18:44,23.59,34.71
29.07.2020-10:18:49,22.35,45.7
29.07.2020-10:18:54,26.72,67.16
29.07.2020-10:18:59,21.76,81.08
29.07.2020-10:19:04,19.53,28.34
29.07.2020-10:19:09,26.95,90.07
29.07.2020-10:19:14,25.91,47.15
29.07.2020-10:19:19,16.53,30.49
29.07.2020-10:19:24,29.32,53.27
29.07.2020-10:19:29,21.41,32.1
29.07.2020-10:19:34,21.89,37.96
29.07.2020-10:19:39,20.79,55.4
29.07.2020-10:19:44,30.35,38.48
29.07.2020-10:19:49,28.05,67.36
29.07.2020-10:19:54,28.24,43.97
29.07.2020-10:19:59,19.01,53.28
29.07.2020-10:20:04,20.68,39.67
29.07.2020-10:20:09,23.78,66.83
29.07.2020-10:20:14,20.53,41.14
29.07.2020-10:20:19,23.06,59.42
29.07.2020-10:20:24,28.59,61.66
29.07.2020-10:20:29,30.49,57.87
29.07.2020-10:20:34,20.38,63.77
29.07.2020-10:20:39,14.69,59.32
29.07.2020-10:20:44,27.37,47.04
29.07.2020-10:20:49,17.5,57.95
29.07.2020-10:20:54,21.95,65.4
29.07.2020-10:20:59,18.52,50.12
29.07.2020-10:21:04,22.16,68.84
29.07.2020-10:21:09,17.64,40.21
29.07.2020-10:21:14,18.06,42.36
29.07.2020-10:21:19,15.27,47.07
29.07.2020-10:21:24,20.67,37.86
29.07.2020-10:21:29,18.86,41.84
29.07.2020-10:21:34,20.34,53.7
29.07.2020-10:21:39,13.28,34.15
29.07.2020-10:21:44,4.97,46.07
29.07.2020-10:21:49,21.23,22.89
29.07.2020-10:21:54,19.23,57.19
29.07.2020-10:21:59,23.65,34.6
29.07.2020-10:22:04,19.49,25.97
29.07.2020-10:22:09,20.63,62.96
29.07.2020-10:22:14,9.7,71.75
29.07.2020-10:22:19,25.15,64.07
29.07.2020-10:22:24,23.86,10.37
29.07.2020-10:22:29,28.55,15.96
29.07.2020-10:22:34,20.84,57.51
29.07.2020-10:22:39,15.96,46.84
29.07.2020-10:22:44,19.68,53.56
29.07.2020-10:22:50,16.35,11.96
29.07.2020-10:22:55,21.44,54.02
29.07.2020-10:23:00,20.02,29.59
29.07.2020-10:23:05,21.99,47.4
29.07.2020-10:23:10,23.08,64.0
29.07.2020-10:23:15,21.86,19.02
29.07.2020-10:23:20,19.08,47.35
29.07.2020-10:23:25,17.78,49.87
29.07.2020-10:23:30,22.47,49.66
29.07.2020-10:23:35,20.41,47.56
29.07.2020-10:23:40,14.29,42.49
29.07.2020-10:23:45,16.82,38.66
29.07.2020-10:23:50,20.62,49.73
29.07.2020-10:23:55,18.38,51.01
29.07.2020-10:24:00,22.13,84.72
29.07.2020-10:24:05,17.98,85.8
29.07.2020-10:24:10,19.93,59.2
29.07.2020-10:24:15,14.05,54.96
29.07.2020-10:24:20,25.51,27.85
29.07.2020-10:24:25,22.79,62.97
29.07.2020-10:24:30,20.08,42.97
29.07.2020-10:24:35,16.84,37.31
29.07.2020-10:24:40,20.07,47.12
29.07.2020-10:24:45,19.34,27.85
29.07.2020-10:24:50,10.99,13.65
29.07.2020-10:24:55,17.93,45.76
29.07.2020-10:25:00,20.52,36.27
29.07.2020-10:25:05,12.88,62.39
29.07.2020-10:25:10,22.71,67.2
29.07.2020-10:25:15,11.58,22.34
29.07.2020-10:25:20,19.81,71.51
29.07.2020-10:25:25,16.58,41.8
29.07.2020-10:25:30,18.6,40.64
29.07.2020-10:25:35,16.08,88.56
29.07.2020-10:25:40,21.74,42.17
29.07.2020-10:25:45,18.73,7.58
29.07.2020-10:25:50,11.7,62.08
29.07.2020-10:25:55,17.13,68.56
29.07.2020-10:26:00,17.98,66.99
29.07.2020-10:26:05,18.86,44.69
29.07.2020-10:26:10,14.95,69.39
29.07.2020-10:26:15,15.58,66.85
29.07.2020-10:26:20,21.33,79.8
29.07.2020-10:26:25,16.48,21.0
29.07.2020-10:26:30,14.87,74.89
29.07.2020-10:26:35,15.31,44.0
29.07.2020-10:26:40,16.42,35.4
29.07.2020-10:26:45,20.71,50.33
29.07.2020-10:26:50,16.64,25.54
29.07.2020-10:26:55,15.55,35.21
29.07.2020-10:27:00,20.09,18.92
29.07.2020-10:27:05,14.52,33.52
29.07.2020-10:27:10,23.76,74.28
29.07.2020-10:27:15,23.25,16.23
29.07.2020-10:27:20,24.0,28.59
29.07.2020-10:27:25,17.13,37.91
29.07.2020-10:27:30,22.81,19.82
29.07.2020-10:27:35,10.09,78.45
29.07.2020-10:27:40,18.54,36.08
29.07.2020-10:27:45,20.12,39.5
29.07.2020-10:27:50,20.38,35.64
29.07.2020-10:27:55,17.01,26.44
29.07.2020-10:28:00,27.64,69.12
29.07.2020-10:28:05,20.18,53.78
29.07.2020-10:28:10,13.84,30.06
29.07.2020-10:28:15,23.68,23.45
29.07.2020-10:28:20,12.35,51.4
29.07.2020-10:28:25,20.33,74.78
29.07.2020-10:28:30,16.99,75.82
29.07.2020-10:28:35,24.19,34.46
29.07.2020-10:28:40,19.54,49.4
29.07.2020-10:28:45,23.1,94.93
29.07.2020-10:28:50,15.05,16.43
29.07.2020-10:28:55,22.74,73.99
29.07.2020-10:29:00,19.41,83.52
29.07.2020-10:29:05,18.4,76.59
29.07.2020-10:29:10,22.39,77.04
29.07.2020-10:29:15,28.87,40.77
29.07.2020-10:29:20,23.34,20.45
29.07.2020-10:29:25,23.78,50.34
29.07.2020-10:29:30,32.94,35.91
29.07.2020-10:29:35,19.25,41.78
29.07.2020-10:29:40,20.76,39.7
29.07.2020-10:29:45,19.6,59.15
29.07.2020-10:29:50,17.42,35.6
29.07.2020-10:29:55,20.69,89.83
29.07.2020-10:30:00,18.93,47.1
29.07.2020-10:30:05,15.46,48.41
29.07.2020-10:30:10,24.45,40.2
29.07.2020-10:30:15,27.24,73.51
29.07.2020-10:30:20,15.4,50.41
29.07.2020-10:30:25,24.82,52.28
29.07.2020-10:30:30,16.83,85.87
29.07.2020-10:30:35,24.2,57.66
29.07.2020-10:30:40,25.04,64.78
29.07.2020-10:30:45,22.92,12.73
29.07.2020-10:30:50,28.43,47.0
29.07.2020-10:30:55,21.77,-8.61
29.07.2020-10:31:00,12.01,41.17
29.07.2020-10:31:05,26.39,75.49
29.07.2020-10:31:10,24.22,38.13
29.07.2020-10:31:15,15.34,13.05
29.07.2020-10:31:20,24.69,7.97
29.07.2020-10:31:25,21.21,28.45
29.07.2020-10:31:30,23.95,44.7
29.07.2020-10:31:35,20.66,73.46
29.07.2020-10:31:40,15.75,32.39
29.07.2020-10:31:45,18.17,62.88
29.07.2020-10:31:50,23.23,22.23
29.07.2020-10:31:55,15.86,44.29
29.07.2020-10:32:00,22.28,59.99
29.07.2020-10:32:05,15.58,60.08
29.07.2020-10:32:10,23.09,48.14
29.07.2020-10:32:15,18.76,62.35
29.07.2020-10:32:20,27.4,59.22
29.07.2020-10:32:25,29.11,39.14
29.07.2020-10:32:30,23.99,33.87
29.07.2020-10:32:35,26.15,42.15
29.07.2020-10:32:40,17.52,44.13
29.07.2020-10:32:45,15.6,62.78
29.07.2020-10:32:50,18.39,102.81
29.07.2020-10:32:55,22.79,30.13
29.07.2020-10:33:00,14.05,88.09
29.07.2020-10:33:05,14.09,53.07
29.07.2020-10:33:10,23.28,56.71
29.07.2020-10:33:15,9.95,46.81
29.07.2020-10:33:20,15.51,51.22
29.07.2020-10:33:25,13.31,30.41
29.07.2020-10:33:30,3.95,63.8
29.07.2020-10:33:35,18.7,43.76
29.07.2020-10:33:40,19.04,51.05
29.07.2020-10:33:45,17.81,73.23
29.07.2020-10:33:50,24.46,42.47
29.07.2020-10:33:55,15.14,49.28
29.07.2020-10:34:00,18.84,47.19
29.07.2020-10:34:05,10.01,58.61
29.07.2020-10:34:10,14.34,75.6
29.07.2020-10:34:15,24.32,87.9
29.07.2020-10:34:20,10.88,73.79
29.07.2020-10:34:25,34.48,51.99
29.07.2020-10:34:30,14.63,56.32
29.07.2020-10:34:35,14.87,79.57
29.07.2020-10:34:40,21.02,-6.76
29.07.2020-10:34:45,18.78,46.86
29.07.2020-10:34:50,15.35,47.52
29.07.2020-10:34:55,17.6,16.23
29.07.2020-10:35:00,14.45,37.05
29.07.2020-10:35:05,7.09,96.31
29.07.2020-10:35:10,15.92,36.41
29.07.2020-10:35:15,7.35,92.79
29.07.2020-10:35:20,26.03,73.89
29.07.2020-10:35:25,17.75,54.45
29.07.2020-10:35:30,8.65,41.2
29.07.2020-10:35:35,20.56,55.74
29.07.2020-10:35:40,22.43,79.31
29.07.2020-10:35:45,17.04,96.89
29.07.2020-10:35:50,15.14,50.84
29.07.2020-10:35:55,24.75,48.28
29.07.2020-10:36:00,21.0,67.63
29.07.2020-10:36:05,23.13,46.95
29.07.2020-10:36:10,14.15,44.08
29.07.2020-10:36:15,15.76,61.43
29.07.2020-10:36:20,25.86,49.79
29.07.2020-10:36:25,15.45,86.2
29.07.2020-10:36:30,23.17,34.65
29.07.2020-10:36:35,24.56,22.85
29.07.2020-10:36:40,21.27,54.65
29.07.2020-10:36:45,19.84,60.86
29.07.2020-10:36:50,18.11,61.86
29.07.2020-10:36:56,21.13,37.11
29.07.2020-10:37:01,22.86,46.05
29.07.2020-10:37:06,24.13,52.75
29.07.2020-10:37:11,27.91,40.74
29.07.2020-10:37:16,23.58,32.9
29.07.2020-10:37:21,13.21,70.95
29.07.2020-10:37:26,24.31,71.58
29.07.2020-10:37:31,18.44,77.51
29.07.2020-10:37:36,25.54,80.54
29.07.2020-10:37:41,16.35,73.53
29.07.2020-10:37:46,19.45,45.9
29.07.2020-10:37:51,18.06,36.58
29.07.2020-10:37:56,15.27,44.65
29.07.2020-10:38:01,12.5,60.21
29.07.2020-10:38:06,26.74,76.15
29.07.2020-10:38:11,22.92,63.21
29.07.2020-10:38:16,12.71,44.58
29.07.2020-10:38:21,19.9,44.17
29.07.2020-10:38:26,21.81,75.07
29.07.2020-10:38:31,25.63,30.07
29.07.2020-10:38:36,22.2,49.77
29.07.2020-10:38:41,19.14,-9.36
29.07.2020-10:38:46,21.52,38.93
29.07.2020-10:38:51,14.59,51.18
29.07.2020-10:38:56,14.8,64.28
29.07.2020-10:39:01,25.82,43.87
29.07.2020-10:39:06,20.19,48.36
29.07.2020-10:39:11,21.04,32.2
29.07.2020-10:39:16,29.53,30.88
29.07.2020-10:39:21,20.68,66.92
29.07.2020-10:39:26,15.66,69.22
29.07.2020-10:39:31,14.96,87.28
29.07.2020-10:39:36,20.14,57.26
29.07.2020-10:39:41,17.23,25.08
29.07.2020-10:39:46,19.28,30.93
29.07.2020-10:39:51,22.27,102.05
29.07.2020-10:39:56,18.56,84.37
29.07.2020-10:40:01,17.38,29.08
29.07.2020-10:40:06,12.21,48.35
29.07.2020-10:40:11,22.54,59.29
29.07.2020-10:40:16,20.07,15.67
29.07.2020-10:40:21,19.64,62.69
29.07.2020-10:40:26,27.81,34.9
29.07.2020-10:40:31,20.27,9.57
29.07.2020-10:40:36,21.13,52.63
29.07.2020-10:40:41,26.33,61.9
29.07.2020-10:40:46,11.66,53.37
29.07.2020-10:40:51,25.87,85.49
29.07.2020-10:40:56,23.63,56.74
29.07.2020-10:41:01,19.0,14.85
29.07.2020-10:41:06,19.76,27.06
29.07.2020-10:41:11,23.55,77.31
29.07.2020-10:41:16,14.29,73.13
29.07.2020-10:41:21,25.32,4.82
29.07.2020-10:41:26,16.47,72.94
29.07.2020-10:41:31,18.01,57.33
29.07.2020-10:41:36,11.13,45.93
29.07.2020-10:41:41,17.92,69.11
29.07.2020-10:41:46,13.9,53.71
29.07.2020-10:41:51,24.39,12.28
29.07.2020-10:41:56,25.55,48.91
29.07.2020-10:42:01,9.44,70.8
29.07.2020-10:42:06,20.39,33.41
29.07.2020-10:42:11,35.57,36.51
29.07.2020-10:42:16,14.65,52.25
29.07.2020-10:42:21,26.09,70.18
29.07.2020-10:42:26,14.18,46.83
29.07.2020-10:42:31,14.98,39.8
29.07.2020-10:42:36,12.66,76.32
29.07.2020-10:42:41,19.19,20.31
29.07.2020-10:42:46,14.53,63.26
29.07.2020-10:42:51,7.4,55.48
29.07.2020-10:42:56,18.3,41.09
29.07.2020-10:43:01,25.49,46.74
29.07.2020-10:43:06,13.38,55.07
29.07.2020-10:43:11,26.85,77.28
29.07.2020-10:43:16,17.69,55.7
29.07.2020-10:43:21,26.49,65.6
29.07.2020-10:43:26,27.21,72.47
29.07.2020-10:43:31,17.17,67.5
29.07.2020-10:43:36,21.49,42.25
29.07.2020-10:43:41,22.69,37.19
29.07.2020-10:43:46,23.78,56.06
29.07.2020-10:43:51,18.11,58.93
29.07.2020-10:43:56,16.62,38.14
29.07.2020-10:44:01,23.07,41.95
29.07.2020-10:44:06,19.41,58.72
29.07.2020-10:44:11,31.6,80.47
29.07.2020-10:44:16,15.04,52.51
29.07.2020-10:44:21,22.43,41.38
29.07.2020-10:44:26,15.24,19.96
29.07.2020-10:44:31,15.36,72.12
29.07.2020-10:44:36,20.39,58.51
29.07.2020-10:44:41,20.21,54.52
29.07.2020-10:44:46,24.31,71.2
29.07.2020-10:44:51,15.29,69.0
29.07.2020-10:44:56,15.68,65.42
29.07.2020-10:45:01,21.66,24.56
29.07.2020-10:45:06,19.05,70.52
29.07.2020-10:45:11,17.46,59.76
29.07.2020-10:45:16,21.6,90.09
29.07.2020-10:45:21,23.43,45.73
29.07.2020-10:45:26,17.95,57.78
29.07.2020-10:45:31,19.88,38.53
29.07.2020-10:45:36,24.02,63.21
29.07.2020-10:45:41,16.65,44.92
29.07.2020-10:45:46,23.45,77.39
29.07.2020-10:45:51,17.87,42.96
29.07.2020-10:45:56,20.52,90.37
29.07.2020-10:46:01,27.08,52.34
29.07.2020-10:46:06,20.47,46.2
29.07.2020-10:46:11,19.86,31.69
29.07.2020-10:46:16,17.76,64.03
29.07.2020-10:46:21,24.36,53.97
29.07.2020-10:46:26,21.68,95.3
29.07.2020-10:46:31,30.11,47.44
29.07.2020-10:46:36,13.73,32.21
29.07.2020-10:46:41,19.15,48.71
29.07.2020-10:46:46,20.37,34.9
29.07.2020-10:46:51,19.17,70.46
29.07.2020-10:46:56,23.29,59.65
29.07.2020-10:47:01,19.74,50.66
29.07.2020-10:47:06,25.61,29.31
29.07.2020-10:47:11,15.42,70.88
29.07.2020-10:47:16,20.89,35.71
29.07.2020-10:47:21,16.14,50.07
29.07.2020-10:47:26,6.29,42.63
29.07.2020-10:47:31,24.1,59.55
29.07.2020-10:47:36,12.69,65.41
29.07.2020-10:47:41,23.01,33.33
29.07.2020-10:47:46,16.15,63.6
29.07.2020-10:47:51,32.96,33.26
29.07.2020-10:47:56,22.48,19.17
29.07.2020-10:48:01,20.57,50.96
29.07.2020-10:48:06,19.79,56.19
29.07.2020-10:48:11,21.51,65.88
29.07.2020-10:48:16,12.92,69.38
29.07.2020-10:48:21,16.87,61.91
29.07.2020-10:48:26,9.2,-8.23
29.07.2020-10:48:31,32.45,43.41
29.07.2020-10:48:36,17.46,38.93
29.07.2020-10:48:41,16.19,34.76
29.07.2020-10:48:46,28.71,69.62
29.07.2020-10:48:51,16.46,43.79
29.07.2020-10:48:56,18.81,59.15
29.07.2020-10:49:01,21.72,70.54
29.07.2020-10:49:06,17.62,74.14
29.07.2020-10:49:11,13.93,81.09
29.07.2020-10:49:16,22.12,50.41
29.07.2020-10:49:21,22.36,30.88
29.07.2020-10:49:26,22.45,65.04
29.07.2020-10:49:31,18.58,45.98
29.07.2020-10:49:36,21.22,23.23
29.07.2020-10:49:41,15.37,65.1
29.07.2020-10:49:46,19.5,22.29
29.07.2020-10:49:51,22.58,29.35
29.07.2020-10:49:56,27.63,46.27
29.07.2020-10:50:01,18.69,61.42
29.07.2020-10:50:06,24.82,51.27
29.07.2020-10:50:11,19.59,66.47
29.07.2020-10:50:16,22.65,37.19
29.07.2020-10:50:21,18.05,58.36
29.07.2020-10:50:26,27.27,32.14
29.07.2020-10:50:31,14.97,46.05
29.07.2020-10:50:36,19.95,42.39
29.07.2020-10:50:41,22.35,85.57
29.07.2020-10:50:46,16.77,25.47
29.07.2020-10:50:51,13.85,70.76
29.07.2020-10:50:57,22.62,48.37
29.07.2020-10:51:02,7.15,39.2
29.07.2020-10:51:07,17.57,48.69
29.07.2020-10:51:12,19.61,59.47
29.07.2020-10:51:17,16.11,36.35
29.07.2020-10:51:22,25.86,51.33
29.07.2020-10:51:27,33.46,66.03
29.07.2020-10:51:32,14.07,46.26
29.07.2020-10:51:37,21.82,59.87
29.07.2020-10:51:42,28.5,63.93
29.07.2020-10:51:47,17.61,18.28
29.07.2020-10:51:52,17.48,73.29
29.07.2020-10:51:57,24.43,70.43
29.07.2020-10:52:02,19.98,25.9
29.07.2020-10:52:07,18.16,30.1
29.07.2020-10:52:12,13.36,26.33
29.07.2020-10:52:17,26.48,65.36
29.07.2020-10:52:22,17.39,64.99
29.07.2020-10:52:27,19.71,8.62
29.07.2020-10:52:32,31.47,21.29
29.07.2020-10:52:37,11.0,85.24
29.07.2020-10:52:42,16.34,21.35
29.07.2020-10:52:47,28.26,43.08
29.07.2020-10:52:52,20.82,34.07
29.07.2020-10:52:57,12.51,43.09
29.07.2020-10:53:02,29.59,51.35
29.07.2020-10:53:07,25.57,36.71
29.07.2020-10:53:12,17.18,47.17
29.07.2020-10:53:17,27.44,60.61
29.07.2020-10:53:22,21.97,53.81
29.07.2020-10:53:27,21.46,24.97
29.07.2020-10:53:32,32.34,68.38
29.07.2020-10:53:37,25.64,17.14
29.07.2020-10:53:42,19.22,50.97
29.07.2020-10:53:47,25.29,19.99
29.07.2020-10:53:52,25.14,32.8
29.07.2020-10:53:57,9.39,72.45
29.07.2020-10:54:02,17.93,38.14
29.07.2020-10:54:07,20.83,24.34
29.07.2020-10:54:12,14.02,9.94
29.07.2020-10:54:17,21.56,30.63
29.07.2020-10:54:22,21.54,65.46
29.07.2020-10:54:27,16.99,21.67
29.07.2020-10:54:32,23.93,83.03
29.07.2020-10:54:37,21.05,59.21
29.07.2020-10:54:42,9.36,38.74
29.07.2020-10:54:47,12.74,37.65
29.07.2020-10:54:52,19.38,52.82
29.07.2020-10:54:57,16.56,29.85
29.07.2020-10:55:02,28.41,45.08
29.07.2020-10:55:07,21.88,61.63
29.07.2020-10:55:12,15.86,58.64
29.07.2020-10:55:17,25.02,85.49
29.07.2020-10:55:22,19.51,60.49
29.07.2020-10:55:27,26.32,6.1
29.07.2020-10:55:32,32.31,96.08
29.07.2020-10:55:37,13.09,76.68
29.07.2020-10:55:42,27.56,91.67
29.07.2020-10:55:47,19.79,80.84
29.07.2020-10:55:52,33.25,68.35
29.07.2020-10:55:57,25.09,47.51
29.07.2020-10:56:02,16.21,49.75
29.07.2020-10:56:07,22.12,34.43
29.07.2020-10:56:12,23.45,48.32
29.07.2020-10:56:17,10.83,57.48
29.07.2020-10:56:22,25.05,66.94
29.07.2020-10:56:27,21.55,40.32
29.07.2020-10:56:32,14.04,44.48
29.07.2020-10:56:37,24.07,54.22
29.07.2020-10:56:42,24.92,19.39
29.07.2020-10:56:47,27.72,6.23
29.07.2020-10:56:52,26.8,60.68
29.07.2020-10:56:57,25.09,46.82
29.07.2020-10:57:02,24.08,85.6
29.07.2020-10:57:07,26.22,79.11
29.07.2020-10:57:12,14.46,57.16
29.07.2020-10:57:17,21.15,18.46
29.07.2020-10:57:22,16.93,12.67
29.07.2020-10:57:27,22.33,43.32
29.07.2020-10:57:32,21.03,31.48
29.07.2020-10:57:37,12.99,73.11
29.07.2020-10:57:42,25.78,48.05
29.07.2020-10:57:47,16.63,63.13
29.07.2020-10:57:52,23.55,39.75
29.07.2020-10:57:57,19.19,48.13
29.07.2020-10:58:02,20.08,56.17
29.07.2020-10:58:07,24.01,31.11
29.07.2020-10:58:12,12.54,29.44
29.07.2020-10:58:17,26.57,59.93
29.07.2020-10:58:22,18.78,62.72
29.07.2020-10:58:27,18.06,49.32
29.07.2020-10:58:32,13.36,44.43
29.07.2020-10:58:37,26.17,24.41
29.07.2020-10:58:42,14.45,68.61
29.07.2020-10:58:47,21.6,49.26
29.07.2020-10:58:52,21.33,19.13
29.07.2020-10:58:57,20.65,41.09
29.07.2020-10:59:02,15.89,44.0
29.07.2020-10:59:07,29.19,64.14
29.07.2020-10:59:12,23.25,47.79
29.07.2020-10:59:17,17.71,47.27
29.07.2020-10:59:22,20.94,42.02
29.07.2020-10:59:27,23.2,30.32
29.07.2020-10:59:32,21.97,64.28
29.07.2020-10:59:37,14.24,23.42
29.07.2020-10:59:42,14.99,59.21
29.07.2020-10:59:47,18.76,60.19
29.07.2020-10:59:52,19.17,44.69
29.07.2020-10:59:57,24.16,58.51
29.07.2020-11:00:02,17.65,100.4
29.07.2020-11:00:07,22.97,94.35
29.07.2020-11:00:12,21.62,71.08
29.07.2020-11:00:17,19.26,90.14
29.07.2020-11:00:22,20.23,44.82
29.07.2020-11:00:27,23.91,68.33
29.07.2020-11:00:32,27.39,68.9
29.07.2020-11:00:37,23.2,83.29
29.07.2020-11:00:42,19.11,30.53
29.07.2020-11:00:47,18.08,53.46
29.07.2020-11:00:52,20.92,70.56
29.07.2020-11:00:57,22.67,55.99
29.07.2020-11:01:02,25.43,30.27
29.07.2020-11:01:07,23.83,38.41
29.07.2020-11:01:12,17.62,48.4
29.07.2020-11:01:17,19.75,73.89
29.07.2020-11:01:22,22.99,41.68
29.07.2020-11:01:27,12.86,53.12
29.07.2020-11:01:32,19.2,23.37
29.07.2020-11:01:37,27.82,26.09
29.07.2020-11:01:42,18.9,44.46
29.07.2020-11:01:47,24.08,55.59
29.07.2020-11:01:52,17.16,54.22
29.07.2020-11:01:57,26.14,65.83
29.07.2020-11:02:02,18.6,40.65
29.07.2020-11:02:07,18.11,18.38
29.07.2020-11:02:12,23.96,63.8
29.07.2020-11:02:17,20.54,64.63
29.07.2020-11:02:22,21.28,38.78
29.07.2020-11:02:27,24.18,46.22
29.07.2020-11:02:32,24.61,82.89
29.07.2020-11:02:37,25.61,62.58
29.07.2020-11:02:42,30.09,85.75
29.07.2020-11:02:47,22.12,70.81
29.07.2020-11:02:52,21.9,26.52
29.07.2020-11:02:57,15.01,65.01
29.07.2020-11:03:02,18.98,66.89
29.07.2020-11:03:07,19.69,56.32
29.07.2020-11:03:12,18.77,51.27
29.07.2020-11:03:17,24.43,47.05
29.07.2020-11:03:22,19.17,47.14
29.07.2020-11:03:27,17.19,31.18
29.07.2020-11:03:32,19.41,38.44
29.07.2020-11:03:37,29.9,7.7
29.07.2020-11:03:42,24.22,51.54
29.07.2020-11:03:47,24.01,82.91
29.07.2020-11:03:52,16.67,21.33
29.07.2020-11:03:57,27.6,39.36
29.07.2020-11:04:02,27.37,31.64
29.07.2020-11:04:07,21.0,68.06
29.07.2020-11:04:12,11.73,38.31
29.07.2020-11:04:17,23.77,56.72
29.07.2020-11:04:22,21.12,45.36
29.07.2020-11:04:27,22.23,78.47
29.07.2020-11:04:32,11.57,56.31
29.07.2020-11:04:37,18.07,19.01
29.07.2020-11:04:42,19.7,63.29
29.07.2020-11:04:47,22.73,26.3
29.07.2020-11:04:52,30.45,53.39
29.07.2020-11:04:58,24.38,60.8
29.07.2020-11:05:03,18.08,40.88
29.07.2020-11:05:08,23.58,19.94
29.07.2020-11:05:13,23.16,62.99
29.07.2020-11:05:18,24.25,39.66
29.07.2020-11:05:23,14.08,54.83
29.07.2020-11:05:28,30.9,38.64
29.07.2020-11:05:33,16.61,68.21
29.07.2020-11:05:38,21.95,61.9
29.07.2020-11:05:43,22.42,21.72
29.07.2020-11:05:48,23.32,81.19
29.07.2020-11:05:53,16.99,48.2
29.07.2020-11:05:58,18.91,40.99
29.07.2020-11:06:03,28.37,25.14
29.07.2020-11:06:08,15.02,24.67
29.07.2020-11:06:13,20.13,56.54
29.07.2020-11:06:18,15.16,58.09
29.07.2020-11:06:23,22.47,93.0
29.07.2020-11:06:28,15.19,34.78
29.07.2020-11:06:33,8.61,-8.76
29.07.2020-11:06:38,21.17,55.56
29.07.2020-11:06:43,14.08,49.51
29.07.2020-11:06:48,17.37,13.93
29.07.2020-11:06:53,11.21,28.66
29.07.2020-11:06:58,27.25,56.04
29.07.2020-11:07:03,22.44,63.62
29.07.2020-11:07:08,22.43,1.92
29.07.2020-11:07:13,20.77,44.57
29.07.2020-11:07:18,12.67,17.59
29.07.2020-11:07:23,22.58,40.01
29.07.2020-11:07:28,17.56,66.26
29.07.2020-11:07:33,24.33,51.5
29.07.2020-11:07:38,17.47,64.05
29.07.2020-11:07:43,21.28,79.23
29.07.2020-11:07:48,25.05,67.55
29.07.2020-11:07:53,17.91,75.24
29.07.2020-11:07:58,20.63,14.5
29.07.2020-11:08:03,23.13,45.1
29.07.2020-11:08:08,21.88,76.46
29.07.2020-11:08:13,27.05,25.18
29.07.2020-11:08:18,24.03,57.94
29.07.2020-11:08:23,28.48,27.17
29.07.2020-11:08:28,26.76,35.5
29.07.2020-11:08:33,24.3,45.85
29.07.2020-11:08:38,21.24,71.61
29.07.2020-11:08:43,17.96,52.26
29.07.2020-11:08:48,25.32,35.53
29.07.2020-11:08:53,21.97,85.27
29.07.2020-11:08:58,25.73,47.46
29.07.2020-11:09:03,23.39,41.64
29.07.2020-11:09:08,23.03,72.29
29.07.2020-11:09:13,15.3,89.02
29.07.2020-11:09:18,10.41,56.07
29.07.2020-11:09:23,14.79,40.07
29.07.2020-11:09:28,10.02,37.8
29.07.2020-11:09:33,16.72,25.09
29.07.2020-11:09:38,10.49,20.87
29.07.2020-11:09:43,13.27,57.64
29.07.2020-11:09:48,16.86,28.33
29.07.2020-11:09:53,21.09,73.78
29.07.2020-11:09:58,25.28,70.94
29.07.2020-11:10:03,17.01,37.9
29.07.2020-11:10:08,22.89,44.41
29.07.2020-11:10:13,11.81,69.34
29.07.2020-11:10:18,23.94,37.91
29.07.2020-11:10:23,15.74,75.44
29.07.2020-11:10:28,24.14,20.77
29.07.2020-11:10:33,19.8,42.15
29.07.2020-11:10:38,22.22,35.24
29.07.2020-11:10:43,27.92,14.3
29.07.2020-11:10:48,19.72,43.51
29.07.2020-11:10:53,20.76,38.45
29.07.2020-11:10:58,15.8,40.28
29.07.2020-11:11:03,21.32,38.85
29.07.2020-11:11:08,20.45,47.19
29.07.2020-11:11:13,19.18,51.62
29.07.2020-11:11:18,25.29,57.68
29.07.2020-11:11:23,32.11,49.35
29.07.2020-11:11:28,13.95,63.66
29.07.2020-11:11:33,16.18,58.24
29.07.2020-11:11:38,28.05,40.54
29.07.2020-11:11:43,13.97,28.79
29.07.2020-11:11:48,15.14,69.39
29.07.2020-11:11:53,17.07,38.58
29.07.2020-11:11:58,11.56,63.57
29.07.2020-11:12:03,27.48,47.53
29.07.2020-11:12:08,15.47,50.87
29.07.2020-11:12:13,18.01,86.02
29.07.2020-11:12:18,11.23,88.72
29.07.2020-11:12:23,17.8,96.57
29.07.2020-11:12:28,14.46,20.78
29.07.2020-11:12:33,18.52,31.66
29.07.2020-11:12:38,24.78,67.1
29.07.2020-11:12:43,15.63,80.32
29.07.2020-11:12:48,28.1,35.02
29.07.2020-11:12:53,17.09,1.81
29.07.2020-11:12:58,27.26,71.94
29.07.2020-11:13:03,15.13,42.47
